Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Characteristics [Cell Type],Term Source 3 REF,Term Source 3 Accession,Experimental Condition [Inhibitor],Experimental Condition [Inhibitor Concentration],Experimental Condition [Inhibitor Concentration Unit],Experimental Condition [Inducer 1],Experimental Condition [Inducer 1 Concentration],Experimental Condition [Inducer 1 Concentration Unit],Experimental Condition [Inducer 2],Experimental Condition [Inducer 2 Concentration],Experimental Condition [Inducer 2 Concentration Unit],Compound 1 Name,Compound 1 PubChem CID,Compound 1 PubChem URL,Compound 1 InChIKey,Compound 1 SMILES,Compound 1 Control Type,Compound 2 Name,Compound 2 InChIKey,Compound 2 SMILES,Compound 3 Name,Compound 3 PubChem CID,Compound 3 PubChem URL,Compound 3 InChIKey,Compound 3 SMILES,Compound 3 Control Type,Channels
*70117_20230210MM1_Gasdermin514_CP_BC430856,G13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,Z-VAD-FMK,30,然,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methyl (3S)-5-fluoro-3-[[(2S)-2-[[(2S)-3-methyl-2-(phenylmethoxycarbonylamino)butanoyl]amino]propanoyl]amino]-4-oxopentanoate,5497174,https://pubchem.ncbi.nlm.nih.gov/compound/5497174,MIFGOLAMNLSLGH-QOKNQOGYSA-N,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)OCC1=CC=CC=C1,,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,H13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,1,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,I13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,Media ctr,,,Media ctr,,,,,,,,,,,,,,,,,,,,,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,J13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,1,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,K13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,Z-VAD-FMK,100,然,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methyl (3S)-5-fluoro-3-[[(2S)-2-[[(2S)-3-methyl-2-(phenylmethoxycarbonylamino)butanoyl]amino]propanoyl]amino]-4-oxopentanoate,5497174,https://pubchem.ncbi.nlm.nih.gov/compound/5497174,MIFGOLAMNLSLGH-QOKNQOGYSA-N,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)OCC1=CC=CC=C1,,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,L13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,Z-VAD-FMK,30,然,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methyl (3S)-5-fluoro-3-[[(2S)-2-[[(2S)-3-methyl-2-(phenylmethoxycarbonylamino)butanoyl]amino]propanoyl]amino]-4-oxopentanoate,5497174,https://pubchem.ncbi.nlm.nih.gov/compound/5497174,MIFGOLAMNLSLGH-QOKNQOGYSA-N,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)OCC1=CC=CC=C1,,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,M13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,Z-VAD-FMK,100,然,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methyl (3S)-5-fluoro-3-[[(2S)-2-[[(2S)-3-methyl-2-(phenylmethoxycarbonylamino)butanoyl]amino]propanoyl]amino]-4-oxopentanoate,5497174,https://pubchem.ncbi.nlm.nih.gov/compound/5497174,MIFGOLAMNLSLGH-QOKNQOGYSA-N,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)OCC1=CC=CC=C1,,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,N13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,Z-VAD-FMK,30,然,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methyl (3S)-5-fluoro-3-[[(2S)-2-[[(2S)-3-methyl-2-(phenylmethoxycarbonylamino)butanoyl]amino]propanoyl]amino]-4-oxopentanoate,5497174,https://pubchem.ncbi.nlm.nih.gov/compound/5497174,MIFGOLAMNLSLGH-QOKNQOGYSA-N,CC(C)C(C(=O)NC(C)C(=O)NC(CC(=O)OC)C(=O)CF)NC(=O)OCC1=CC=CC=C1,,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,O13,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,1,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,B14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,C14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,D14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Thapsigargin,1,然,,,,"[(3S,3aR,4S,6S,6aR,7S,8S,9bS)-6-acetyloxy-4-butanoyloxy-3,3a-dihydroxy-3,6,9-trimethyl-8-[(Z)-2-methylbut-2-enoyl]oxy-2-oxo-4,5,6a,7,8,9b-hexahydroazuleno[4,5-b]furan-7-yl] octanoate",446378,https://pubchem.ncbi.nlm.nih.gov/compound/446378,IXFPJGBNCFXKPI-FSIHEZPISA-N,CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCC)(C(C(=O)O3)(C)O)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,E14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Thapsigargin,10,然,,,,"[(3S,3aR,4S,6S,6aR,7S,8S,9bS)-6-acetyloxy-4-butanoyloxy-3,3a-dihydroxy-3,6,9-trimethyl-8-[(Z)-2-methylbut-2-enoyl]oxy-2-oxo-4,5,6a,7,8,9b-hexahydroazuleno[4,5-b]furan-7-yl] octanoate",446378,https://pubchem.ncbi.nlm.nih.gov/compound/446378,IXFPJGBNCFXKPI-FSIHEZPISA-N,CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCC)(C(C(=O)O3)(C)O)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,F14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Topotecan,5,nM,,,,"(19S)-8-[(dimethylamino)methyl]-19-ethyl-7,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione",60700,https://pubchem.ncbi.nlm.nih.gov/compound/60700,UCFGDBYHRUNTLO-QHCPKHFHSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,G14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Topotecan,10,nM,,,,"(19S)-8-[(dimethylamino)methyl]-19-ethyl-7,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione",60700,https://pubchem.ncbi.nlm.nih.gov/compound/60700,UCFGDBYHRUNTLO-QHCPKHFHSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,H14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Topotecan,20,nM,,,,"(19S)-8-[(dimethylamino)methyl]-19-ethyl-7,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione",60700,https://pubchem.ncbi.nlm.nih.gov/compound/60700,UCFGDBYHRUNTLO-QHCPKHFHSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,I14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,J14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,K14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Thapsigargin,1,然,,,,"[(3S,3aR,4S,6S,6aR,7S,8S,9bS)-6-acetyloxy-4-butanoyloxy-3,3a-dihydroxy-3,6,9-trimethyl-8-[(Z)-2-methylbut-2-enoyl]oxy-2-oxo-4,5,6a,7,8,9b-hexahydroazuleno[4,5-b]furan-7-yl] octanoate",446378,https://pubchem.ncbi.nlm.nih.gov/compound/446378,IXFPJGBNCFXKPI-FSIHEZPISA-N,CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCC)(C(C(=O)O3)(C)O)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,L14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Thapsigargin,10,然,,,,"[(3S,3aR,4S,6S,6aR,7S,8S,9bS)-6-acetyloxy-4-butanoyloxy-3,3a-dihydroxy-3,6,9-trimethyl-8-[(Z)-2-methylbut-2-enoyl]oxy-2-oxo-4,5,6a,7,8,9b-hexahydroazuleno[4,5-b]furan-7-yl] octanoate",446378,https://pubchem.ncbi.nlm.nih.gov/compound/446378,IXFPJGBNCFXKPI-FSIHEZPISA-N,CCCCCCCC(=O)OC1C2C(=C(C1OC(=O)C(=CC)C)C)C3C(C(CC2(C)OC(=O)C)OC(=O)CCC)(C(C(=O)O3)(C)O)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,M14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Topotecan,5,nM,,,,"(19S)-8-[(dimethylamino)methyl]-19-ethyl-7,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione",60700,https://pubchem.ncbi.nlm.nih.gov/compound/60700,UCFGDBYHRUNTLO-QHCPKHFHSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,N14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Topotecan,10,nM,,,,"(19S)-8-[(dimethylamino)methyl]-19-ethyl-7,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione",60700,https://pubchem.ncbi.nlm.nih.gov/compound/60700,UCFGDBYHRUNTLO-QHCPKHFHSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,O14,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,Topotecan,20,nM,,,,"(19S)-8-[(dimethylamino)methyl]-19-ethyl-7,19-dihydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4(9),5,7,10,15(20)-heptaene-14,18-dione",60700,https://pubchem.ncbi.nlm.nih.gov/compound/60700,UCFGDBYHRUNTLO-QHCPKHFHSA-N,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C4C3=C2)O,,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,B15,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
*70117_20230210MM1_Gasdermin514_CP_BC430856,C15,Homo sapiens,NCBITaxon,NCBITaxon_9606,SH-SY5Y,EFO,EFO_0002717,,,,DMSO,0.025,%,DMSO,0.1,%,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,,,,methylsulfinylmethane,679,https://pubchem.ncbi.nlm.nih.gov/compound/679,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(=O)C,Negative,Hoechst 33342:nucleus; concanavalin A (con A) PhenoFluor488 conjugate:endoplasmic reticulumn; wheat germ agglutinin (WGA) PhenoFluor555 conjugate:Golgi apparatus and plasma membrane; phalloidin PhenoFluor568 conjugate: F-actin; Mitochondrial stain PhenoVue 641: mitochondria;  AlexaFluor514: Cleaved N-terminal Gasdermin D
